,Title,Date,Fragments,,,,Lab/Ops,Principles,,,,
233,"The paradoxal discourses of F.M. Van Helmont concerning the macrocosm and microcosm, or, The greater and lesser world and their union set down in writing by J.B. and now published.",1685-01-01,the sulphur which is in mercury is  not so perfect,,,,,1,,,,
238,Experimental notes of the mechanical origine or production of fixtness.,1675-01-01,so fixt a body as salt of tartar by additaments i,,,,1,,,,,
239,Experimental notes of the mechanical origine or production of fixtness.,1675-01-01,make use of spirit of salt because at least if it,,,,1,,,,,
262,"The practise of chymicall, and hermeticall physicke, for the preseruation of health. Written in Latin by Iosephus Quersitanus, Doctor of Phisicke. And translated into English, by Thomas Timme, minister",1605-01-01,bread and nourished in the salt sea the which being so,,,,,,,,,
263,"The practise of chymicall, and hermeticall physicke, for the preseruation of health. Written in Latin by Iosephus Quersitanus, Doctor of Phisicke. And translated into English, by Thomas Timme, minister",1605-01-01,in the same blood this sulphur being exalted it causeth sulphurus,,,,,1,,,,
265,"The practise of chymicall, and hermeticall physicke, for the preseruation of health. Written in Latin by Iosephus Quersitanus, Doctor of Phisicke. And translated into English, by Thomas Timme, minister",1605-01-01,that is to say salt sulphur and mercurie and these internal,,,,,1,,,,
266,"The works of Mr. John Cleveland containing his poems, orations, epistles, collected into one volume, with the life of the author.",1687-01-01,d line pedantical nsinewy aenigmatical saltless and galless be thy curse,,,,,,,,,
267,"The works of Mr. John Cleveland containing his poems, orations, epistles, collected into one volume, with the life of the author.",1687-01-01,linnen bandileers exhausted of their sulphurous contents in pulpit fire works,,,,,,,,,
268,"The works of Mr. John Cleveland containing his poems, orations, epistles, collected into one volume, with the life of the author.",1687-01-01,no stranger than true mum salter is sober and iack martin,,,,,,,,,
269,"The works of Mr. John Cleveland containing his poems, orations, epistles, collected into one volume, with the life of the author.",1687-01-01,bodies all composed be of sulphur salt and mercury easie it,,,,,1,,,,
270,"The works of Mr. John Cleveland containing his poems, orations, epistles, collected into one volume, with the life of the author.",1687-01-01,name illustrious became  hail mercury s and apollo s son,,,,,,,,,
271,"The works of Mr. John Cleveland containing his poems, orations, epistles, collected into one volume, with the life of the author.",1687-01-01,in cries and tears those salt presages of our future years,,,,,,,,,
272,"The works of Mr. John Cleveland containing his poems, orations, epistles, collected into one volume, with the life of the author.",1687-01-01,crown they call him a mercury but he becomes the epithet,,,,,,,,,
273,Notes and observations vpon some passages of scripture. By I.G. Master of Arts of Christ-Church Oxon.,1646-01-01,alphabet c in the greeke psalters it is no rare thing,,,,,,,,,
274,Notes and observations vpon some passages of scripture. By I.G. Master of Arts of Christ-Church Oxon.,1646-01-01,whereby the first principall of salt consisteth cannot be consumed by,,,,,1,,,,
277,Notes and observations vpon some passages of scripture. By I.G. Master of Arts of Christ-Church Oxon.,1646-01-01,david the prophet in his psalter praise the lord which sitteth,,,,,,,,,
278,Notes and observations vpon some passages of scripture. By I.G. Master of Arts of Christ-Church Oxon.,1646-01-01,philosophy goe thus that salt sulphur and mercury are the principles,,,,,1,,,,
279,Notes and observations vpon some passages of scripture. By I.G. Master of Arts of Christ-Church Oxon.,1646-01-01,say nothing here of salomons psalter lately put forth by de,,,,,,,,,
282,"A compleat history of the most remarkable providences both of judgment and mercy, which have hapned in this present age extracted from the best writers, the author's own observations, and the numerous relations sent him from divers parts of the three kingdoms : to which is added, whatever is curious in the works of nature and art / the whole digested into one volume, under proper heads, being a work set on foot thirty years ago, by the Reverend Mr. Pool, author of the Synopsis criticorum ; and since undertaken and finish'd, by William Turner...",1697-01-01,breast of veal stuft besides salt fish at one supper caesar,,,,,,,,,
283,"A compleat history of the most remarkable providences both of judgment and mercy, which have hapned in this present age extracted from the best writers, the author's own observations, and the numerous relations sent him from divers parts of the three kingdoms : to which is added, whatever is curious in the works of nature and art / the whole digested into one volume, under proper heads, being a work set on foot thirty years ago, by the Reverend Mr. Pool, author of the Synopsis criticorum ; and since undertaken and finish'd, by William Turner...",1697-01-01,there use not to set salt upon their tables but holding,,,,,,,,,
287,Paradoxical assertions and philosophical problems full of delight and recreation for all ladies and youthful fancies by R.H.,1659-01-01,fortune amongst women through the saltness of whose tails he entails,,,,,,,,,
288,Paradoxical assertions and philosophical problems full of delight and recreation for all ladies and youthful fancies by R.H.,1659-01-01,all natural bodies into salt sulphur and mercury is become thereby,,,,,1,,,,
289,Paradoxical assertions and philosophical problems full of delight and recreation for all ladies and youthful fancies by R.H.,1659-01-01,netherlands paracelsus elevated above his mercury boasted himself divine a miracle,,,,,,,,,
290,Paradoxical assertions and philosophical problems full of delight and recreation for all ladies and youthful fancies by R.H.,1659-01-01,any fuel is left this salt spirit of contradiction this acrimonious,,,,,,,,,
291,Paradoxical assertions and philosophical problems full of delight and recreation for all ladies and youthful fancies by R.H.,1659-01-01,bodies into salt sulphur and mercury is become thereby like the,,,,,1,,,,
292,Paradoxical assertions and philosophical problems full of delight and recreation for all ladies and youthful fancies by R.H.,1659-01-01,head when it is his salt wives tail onely that itches,,,,,,,,,
293,Paradoxical assertions and philosophical problems full of delight and recreation for all ladies and youthful fancies by R.H.,1659-01-01,polite shells where should the saltness of wit that seasons our,,,,,,,,,
294,"Philadelphia, or, Brotherly love to the studious in the hermetick art. Wherein is discovered the principles of hermetick philosophy, with much candor and plainness. / Written by Eyreneus Philoctetes.",1694-01-01,begot between our secret active sulphur which is our fire our,,,,,1,,,,
295,"Philadelphia, or, Brotherly love to the studious in the hermetick art. Wherein is discovered the principles of hermetick philosophy, with much candor and plainness. / Written by Eyreneus Philoctetes.",1694-01-01,this following discovery salt prepares sulphur salt and sulphur prepares mercury,,,,,1,,,,
296,"Philadelphia, or, Brotherly love to the studious in the hermetick art. Wherein is discovered the principles of hermetick philosophy, with much candor and plainness. / Written by Eyreneus Philoctetes.",1694-01-01,speedy but beware of common sulphur which in no wise is,,,,,,,,,
297,"Philadelphia, or, Brotherly love to the studious in the hermetick art. Wherein is discovered the principles of hermetick philosophy, with much candor and plainness. / Written by Eyreneus Philoctetes.",1694-01-01,so that without salt sulphur cannot be prepared or,,,,,1,,,,
298,"Philadelphia, or, Brotherly love to the studious in the hermetick art. Wherein is discovered the principles of hermetick philosophy, with much candor and plainness. / Written by Eyreneus Philoctetes.",1694-01-01,following discovery salt prepares sulphur salt and sulphur prepares mercury mercury,,,,,1,,,,
299,"Philadelphia, or, Brotherly love to the studious in the hermetick art. Wherein is discovered the principles of hermetick philosophy, with much candor and plainness. / Written by Eyreneus Philoctetes.",1694-01-01,thereto without salt and sulphur mercury cannot be qualified and without,,,,,1,,,,
300,"Philadelphia, or, Brotherly love to the studious in the hermetick art. Wherein is discovered the principles of hermetick philosophy, with much candor and plainness. / Written by Eyreneus Philoctetes.",1694-01-01,of erroneous attempts that crude mercury is the matter of all,,,,,1,,,,
304,"Thirteen books of natural philosophy viz. I. Of the principles, and common adjuncts of all natural bodies. II. Of the heavens, the world, and elements. III. Of action, passion, generation, and corruption. IV. Of meteors. V. Of minerals and metals. VI. Of the soul in general, and of things vegetable. VII. Of animals or living creatures. VIII. Of man. Unto which is added five books more of natural philosophy in several discourses. I1. Discourses [illegible] principles of natural things. 1. Dis. 2. Concerning the occult and hidden qualities. 1I. Dis. 3. Of atomes and mixture. 1II. Dis 4. Of the generation of live things. 1III. Dis. 5. Concerning the spontaneous generation of live things. Written in Latin and English. By Daniel Sennert, doctor of physick. Nicholas Culpeper, physitian and astrologer. Abdiah Cole, doctor of physick, and the liberal arts.",1660-01-01,the cause of the seas saltness the ebbing and flowing of,,,,,,,,,
307,"Thirteen books of natural philosophy viz. I. Of the principles, and common adjuncts of all natural bodies. II. Of the heavens, the world, and elements. III. Of action, passion, generation, and corruption. IV. Of meteors. V. Of minerals and metals. VI. Of the soul in general, and of things vegetable. VII. Of animals or living creatures. VIII. Of man. Unto which is added five books more of natural philosophy in several discourses. I1. Discourses [illegible] principles of natural things. 1. Dis. 2. Concerning the occult and hidden qualities. 1I. Dis. 3. Of atomes and mixture. 1II. Dis 4. Of the generation of live things. 1III. Dis. 5. Concerning the spontaneous generation of live things. Written in Latin and English. By Daniel Sennert, doctor of physick. Nicholas Culpeper, physitian and astrologer. Abdiah Cole, doctor of physick, and the liberal arts.",1660-01-01,humors are very good fiftly mercury male and female cynocrambe dogs,,,,,1,,,,
308,"Mysterium magnum, or An exposition of the first book of Moses called Genesis. Concerning the manifestation or revelation of the divine word through the three principles of the divine essence; also of the originall of the world and the creation. Wherein the kingdome of nature, & the kingdome of grace are expounded. For the better understanding of the Old and New Testament, and what Adam and Christ are. Also, how man should consider and may know himselfe in the light of nature, where he is, and where his temporall and eternall life, consist; also, where his eternall blessednesse, and damnation, consist. And is an exposition of the essence of all essences for the further consideration of the lovers, in the divine gift. Comprised in three parts: written anno 1623. By Jacob Behm. To which is added, The life of the author. And his Foure tables of divine revelation.",1656-01-01,constellation hath its compaction of sulphur and mercury the sulphur giueth,,,,,1,,,,
310,"Mysterium magnum, or An exposition of the first book of Moses called Genesis. Concerning the manifestation or revelation of the divine word through the three principles of the divine essence; also of the originall of the world and the creation. Wherein the kingdome of nature, & the kingdome of grace are expounded. For the better understanding of the Old and New Testament, and what Adam and Christ are. Also, how man should consider and may know himselfe in the light of nature, where he is, and where his temporall and eternall life, consist; also, where his eternall blessednesse, and damnation, consist. And is an exposition of the essence of all essences for the further consideration of the lovers, in the divine gift. Comprised in three parts: written anno 1623. By Jacob Behm. To which is added, The life of the author. And his Foure tables of divine revelation.",1656-01-01,out of the cumpaction of sulphur mercury and salt or into,,,,,1,,,,
311,"Mysterium magnum, or An exposition of the first book of Moses called Genesis. Concerning the manifestation or revelation of the divine word through the three principles of the divine essence; also of the originall of the world and the creation. Wherein the kingdome of nature, & the kingdome of grace are expounded. For the better understanding of the Old and New Testament, and what Adam and Christ are. Also, how man should consider and may know himselfe in the light of nature, where he is, and where his temporall and eternall life, consist; also, where his eternall blessednesse, and damnation, consist. And is an exposition of the essence of all essences for the further consideration of the lovers, in the divine gift. Comprised in three parts: written anno 1623. By Jacob Behm. To which is added, The life of the author. And his Foure tables of divine revelation.",1656-01-01,of sulphur and mercury the sulphur giueth essence and mercurius give,,,,,1,,,,
312,"Mysterium magnum, or An exposition of the first book of Moses called Genesis. Concerning the manifestation or revelation of the divine word through the three principles of the divine essence; also of the originall of the world and the creation. Wherein the kingdome of nature, & the kingdome of grace are expounded. For the better understanding of the Old and New Testament, and what Adam and Christ are. Also, how man should consider and may know himselfe in the light of nature, where he is, and where his temporall and eternall life, consist; also, where his eternall blessednesse, and damnation, consist. And is an exposition of the essence of all essences for the further consideration of the lovers, in the divine gift. Comprised in three parts: written anno 1623. By Jacob Behm. To which is added, The life of the author. And his Foure tables of divine revelation.",1656-01-01,the three first properties viz sulphur mercurius and the salt sharpnesse,,,,,1,,,,
316,"Chymical, medicinal, and chyrurgical addresses: made to Samuel Hartlib, Esquire. Viz. 1. Whether the Vrim and Thummim were given in the Mount, or perfected by art. 2. Sir George Ripley's epistle, to King Edward unfolded. 3. Gabriel Plats caveat for alchymists. 4. A conference concerning the phylosophers stone. 5. An invitation to a free and generous communication of secrets and receits in physick. 6 Whether or no, each several disease hath a particular remedy? 7. A new and easie method of chirurgery, for the curing of all fresh wounds or other hurts. 8. A discourse about the essence or existence of metals. 9. The new postilions, pretended prophetical prognostication, of what whall happen to physitians, chyrurgeons, apothecaries, alchymists, and miners.",1655-01-01,salt of nature with this salt acuate thy water as thou,,,,,1,,,,
317,"Chymical, medicinal, and chyrurgical addresses: made to Samuel Hartlib, Esquire. Viz. 1. Whether the Vrim and Thummim were given in the Mount, or perfected by art. 2. Sir George Ripley's epistle, to King Edward unfolded. 3. Gabriel Plats caveat for alchymists. 4. A conference concerning the phylosophers stone. 5. An invitation to a free and generous communication of secrets and receits in physick. 6 Whether or no, each several disease hath a particular remedy? 7. A new and easie method of chirurgery, for the curing of all fresh wounds or other hurts. 8. A discourse about the essence or existence of metals. 9. The new postilions, pretended prophetical prognostication, of what whall happen to physitians, chyrurgeons, apothecaries, alchymists, and miners.",1655-01-01,philosopher so then if a mercury drawn from the bodies have,,,,,,,,,
319,"Chymical, medicinal, and chyrurgical addresses: made to Samuel Hartlib, Esquire. Viz. 1. Whether the Vrim and Thummim were given in the Mount, or perfected by art. 2. Sir George Ripley's epistle, to King Edward unfolded. 3. Gabriel Plats caveat for alchymists. 4. A conference concerning the phylosophers stone. 5. An invitation to a free and generous communication of secrets and receits in physick. 6 Whether or no, each several disease hath a particular remedy? 7. A new and easie method of chirurgery, for the curing of all fresh wounds or other hurts. 8. A discourse about the essence or existence of metals. 9. The new postilions, pretended prophetical prognostication, of what whall happen to physitians, chyrurgeons, apothecaries, alchymists, and miners.",1655-01-01,will drink up no more quicksilver then are the filings burst,,,,1,,,,,
320,"Chymical, medicinal, and chyrurgical addresses: made to Samuel Hartlib, Esquire. Viz. 1. Whether the Vrim and Thummim were given in the Mount, or perfected by art. 2. Sir George Ripley's epistle, to King Edward unfolded. 3. Gabriel Plats caveat for alchymists. 4. A conference concerning the phylosophers stone. 5. An invitation to a free and generous communication of secrets and receits in physick. 6 Whether or no, each several disease hath a particular remedy? 7. A new and easie method of chirurgery, for the curing of all fresh wounds or other hurts. 8. A discourse about the essence or existence of metals. 9. The new postilions, pretended prophetical prognostication, of what whall happen to physitians, chyrurgeons, apothecaries, alchymists, and miners.",1655-01-01,way of proceeding these two sulphurs as they are principles of,,,,,1,,,,
322,"A ternary of paradoxes the magnetick cure of wounds, nativity of tartar in wine, image of God in man / written originally by Joh. Bapt. Van Helmont and translated, illustrated and amplified by Walter Charleton.",1650-01-01,the command of the celestial mercury onely and not of their,,,,,,,,,
325,"A ternary of paradoxes the magnetick cure of wounds, nativity of tartar in wine, image of God in man / written originally by Joh. Bapt. Van Helmont and translated, illustrated and amplified by Walter Charleton.",1650-01-01,the other two sal and sulphur all specifical proprieties i say,,,,,1,,,,
326,"A ternary of paradoxes the magnetick cure of wounds, nativity of tartar in wine, image of God in man / written originally by Joh. Bapt. Van Helmont and translated, illustrated and amplified by Walter Charleton.",1650-01-01,paracelsvs engraven in stone at saltzburg in the hospital of saint,,,,,,,,,
327,"A ternary of paradoxes the magnetick cure of wounds, nativity of tartar in wine, image of God in man / written originally by Joh. Bapt. Van Helmont and translated, illustrated and amplified by Walter Charleton.",1650-01-01,to be referred to coagulated salts not to stones or excrements,,,,1,,,,,
328,"A ternary of paradoxes the magnetick cure of wounds, nativity of tartar in wine, image of God in man / written originally by Joh. Bapt. Van Helmont and translated, illustrated and amplified by Walter Charleton.",1650-01-01,access of a lixivial traumatick salt it remaineth onely that we,,,,1,,,,,
329,"New experiments, and observations, made upon the icy noctiluca imparted in a letter to a friend living in the country : to which is annexed A chymical paradox / by Robert Boyle.",1682-01-01,what family or sort of salts the saline part of our,,,,1,,,,,
331,"New experiments, and observations, made upon the icy noctiluca imparted in a letter to a friend living in the country : to which is annexed A chymical paradox / by Robert Boyle.",1682-01-01,to the chymists estimate the sulphureous principle of the concrete and,,,,,1,,,,
332,"New experiments, and observations, made upon the icy noctiluca imparted in a letter to a friend living in the country : to which is annexed A chymical paradox / by Robert Boyle.",1682-01-01,is confin d to salt sulphur and mercury but in the,,,,,1,,,,
338,"Sal, lumen, & spiritus mundi philosophici, or, The dawning of the day discovered by the beams of light shewing the true salt and secret of the philosophers, the first and universal spirit of the world / written originally in French, afterwards turned into Latin by the illustrious doctor, Lodovicus Combachius ... and now transplanted into Albyons Garden by R.T. ...",1657-01-01,for the general matter or mercury of them being as philosophers,,,,,,,,,
341,"Sal, lumen, & spiritus mundi philosophici, or, The dawning of the day discovered by the beams of light shewing the true salt and secret of the philosophers, the first and universal spirit of the world / written originally in French, afterwards turned into Latin by the illustrious doctor, Lodovicus Combachius ... and now transplanted into Albyons Garden by R.T. ...",1657-01-01,same also in this universal mercury which is always nourished and,,,,,1,,,,
343,"Resuscitatio, or, Bringing into publick light severall pieces of the works, civil, historical, philosophical, & theological, hitherto sleeping, of the Right Honourable Francis Bacon, Baron of Verulam, Viscount Saint Alban according to the best corrected coppies : together with His Lordships life / by William Rawley ...",1657-01-01,should be n sacrifice without salt the morall whereof besides the,,,,,,,,,
344,"Resuscitatio, or, Bringing into publick light severall pieces of the works, civil, historical, philosophical, & theological, hitherto sleeping, of the Right Honourable Francis Bacon, Baron of Verulam, Viscount Saint Alban according to the best corrected coppies : together with His Lordships life / by William Rawley ...",1657-01-01,it pleaseth them to term salt mercury and sulphur we see,,,,,1,,,,
345,"Resuscitatio, or, Bringing into publick light severall pieces of the works, civil, historical, philosophical, & theological, hitherto sleeping, of the Right Honourable Francis Bacon, Baron of Verulam, Viscount Saint Alban according to the best corrected coppies : together with His Lordships life / by William Rawley ...",1657-01-01,be corrupted and perverted for salt in the scripture is a,,,,,,,,,
346,"Resuscitatio, or, Bringing into publick light severall pieces of the works, civil, historical, philosophical, & theological, hitherto sleeping, of the Right Honourable Francis Bacon, Baron of Verulam, Viscount Saint Alban according to the best corrected coppies : together with His Lordships life / by William Rawley ...",1657-01-01,and pure waters into that salt sea of corruption which invironeth,,,,,,,,,
347,"Resuscitatio, or, Bringing into publick light severall pieces of the works, civil, historical, philosophical, & theological, hitherto sleeping, of the Right Honourable Francis Bacon, Baron of Verulam, Viscount Saint Alban according to the best corrected coppies : together with His Lordships life / by William Rawley ...",1657-01-01,to term salt mercury and sulphur we see if they be,,,,,1,,,,
350,"A medicinal dispensatory, containing the vvhole body of physick discovering the natures, properties, and vertues of vegetables, minerals, & animals: the manner of compounding medicaments, and the way to administer them. Methodically digested in five books of philosophical and pharmaceutical institutions; three books of physical materials galenical and chymical. Together with a most perfect and absolute pharmacopoea or apothecaries shop. Accommodated with three useful tables. Composed by the illustrious Renodæus, chief physician to the monarch of France; and now Englished and revised, by Richard Tomlinson of London, apothecary.",1657-01-01,the tribute was contradecreed the salt redounded c  l,,,,,,,,,
352,"A medicinal dispensatory, containing the vvhole body of physick discovering the natures, properties, and vertues of vegetables, minerals, & animals: the manner of compounding medicaments, and the way to administer them. Methodically digested in five books of philosophical and pharmaceutical institutions; three books of physical materials galenical and chymical. Together with a most perfect and absolute pharmacopoea or apothecaries shop. Accommodated with three useful tables. Composed by the illustrious Renodæus, chief physician to the monarch of France; and now Englished and revised, by Richard Tomlinson of London, apothecary.",1657-01-01,purges both the biles and salt phlegm vires and thence conduces,,,,1,,,,,
354,"A medicinal dispensatory, containing the vvhole body of physick discovering the natures, properties, and vertues of vegetables, minerals, & animals: the manner of compounding medicaments, and the way to administer them. Methodically digested in five books of philosophical and pharmaceutical institutions; three books of physical materials galenical and chymical. Together with a most perfect and absolute pharmacopoea or apothecaries shop. Accommodated with three useful tables. Composed by the illustrious Renodæus, chief physician to the monarch of France; and now Englished and revised, by Richard Tomlinson of London, apothecary.",1657-01-01,any star for he makes mercury  times lesser than the,,,,,,,,,
357,"Alex. Van Suchten Of the secrets of antimony in two treatises. Translated out of high-Dutch by Dr. C. a person of great skill in chymistry. To which is added B. Valentine's salt of antimony, with its use.",1670-01-01,valentine how to make the salt of antimony powder good hungarian,,,,1,,,,,
362,"Alex. Van Suchten Of the secrets of antimony in two treatises. Translated out of high-Dutch by Dr. C. a person of great skill in chymistry. To which is added B. Valentine's salt of antimony, with its use.",1670-01-01,should alwayes remain with the mercury and the mercury with sol,,,,,1,,,,
375,"Fleta minor the laws of art and nature, in knowing, judging, assaying, fining, refining and inlarging the bodies of confin'd metals : in two parts : the first contains assays of Lazarus Erckern, chief prover, or assay-master general of the empire of Germany, in V. books, orinally written by him in the Teutonick language and now translated into English ; the second contains essays on metallick words, as a dictionary to many pleasing discourses, by Sir John Pettus ... ; illustrated with 44 sculptures.",1683-01-01,the planets themselves viz of mercury and the moon as i,,,,,,,,,
382,"Hydrologia chymica, or, The chymical anatomy of the Scarbrough, and other spaws in York-Shire wherein are interspersed some animadversions upon Dr. Wittie's lately published treatise of the Scarbrough-spaw : also a short description of the spaws at Malton and Knarsbrough : and a discourse concerning the original of hot springs and other fountains : with the causes and cures of most of the stubbornest diseases ... : also a vindication of chymical physick ... : lastly is subjoyned an appendix of the original of springs ... / by W. Simpson.",1669-01-01,feverish delirium imitates the narcotick sulphur of opium or rather as,,,,1,,,,,
386,"All in one, all useful sciences and profitable arts in one book of Jehovah Aelohim, copied out and commented upon in created beings, comprehended and discovered in the fulness and perfection of scr[i]pture-knowledges / by Francis Bampfield ...",1677-01-01,and caused cymbals harps and psalteries to be fitted that the,,,,,,,,,
387,"All in one, all useful sciences and profitable arts in one book of Jehovah Aelohim, copied out and commented upon in created beings, comprehended and discovered in the fulness and perfection of scr[i]pture-knowledges / by Francis Bampfield ...",1677-01-01,in non latin alphabet psalteria instrumenta musica jer,,,,,,,,,
388,"All in one, all useful sciences and profitable arts in one book of Jehovah Aelohim, copied out and commented upon in created beings, comprehended and discovered in the fulness and perfection of scr[i]pture-knowledges / by Francis Bampfield ...",1677-01-01,they call the day of mercury in latin in british or,,,,,,,,,
389,"All in one, all useful sciences and profitable arts in one book of Jehovah Aelohim, copied out and commented upon in created beings, comprehended and discovered in the fulness and perfection of scr[i]pture-knowledges / by Francis Bampfield ...",1677-01-01,mouth of the lute or psaltery and devising to themselves instruments,,,,,,,,,
390,"All in one, all useful sciences and profitable arts in one book of Jehovah Aelohim, copied out and commented upon in created beings, comprehended and discovered in the fulness and perfection of scr[i]pture-knowledges / by Francis Bampfield ...",1677-01-01,some affirm nor of salt sulphur and mercury as others assert,,,,,1,,,,
391,"All in one, all useful sciences and profitable arts in one book of Jehovah Aelohim, copied out and commented upon in created beings, comprehended and discovered in the fulness and perfection of scr[i]pture-knowledges / by Francis Bampfield ...",1677-01-01,concent or harmony of the psaltery that musical instrument for the,,,,,,,,,
398,"The manner of raising, ordering, and improving forrest-trees also, how to plant, make and keep woods, walks, avenues, lawns, hedges, &c. : with several figures proper for avenues and walks to end in, and convenient figures for lawns : also rules by M. Cook.",1676-01-01,affirm that tis salt sulphur mercury and spirit all or any,,,,,1,,,,
399,"A vindication of chymistry, and chymical medicines Courteous and candid reader, chymistry, is an art that doth both teach and inable us (for our exceeding good and benefit) to seperate purity from impurity; ...",1676-01-01,use of oyl of vitrial salt brimstone and that dangerous vomit,,,,1,,,,,
451,"The arraignment of vrines vvherein are set downe the manifold errors and abuses of ignorant vrine-mongring empirickes, cozening quacksaluers, women-physitians, and the like stuffe ... Collected and gathered as well out of the most ancient, as the moderne and late physitians of our time: and written first in the Latine tongue, and diuided into three bookes by Peter Forrest D. in Physicke ... And for the benefit of our British nations newly epitomized, and translated into our English tongue by Iames Hart Dr. of the foresaid faculty, and residing in the towne of Northampton.",1623-01-01,cough proceeding from a thinne salt rheume with spitting of bloud,,,,1,,,,,
452,"The arraignment of vrines vvherein are set downe the manifold errors and abuses of ignorant vrine-mongring empirickes, cozening quacksaluers, women-physitians, and the like stuffe ... Collected and gathered as well out of the most ancient, as the moderne and late physitians of our time: and written first in the Latine tongue, and diuided into three bookes by Peter Forrest D. in Physicke ... And for the benefit of our British nations newly epitomized, and translated into our English tongue by Iames Hart Dr. of the foresaid faculty, and residing in the towne of Northampton.",1623-01-01,according to the opinion of argenterius or yet if we see,,,,,,,,,
453,"The arraignment of vrines vvherein are set downe the manifold errors and abuses of ignorant vrine-mongring empirickes, cozening quacksaluers, women-physitians, and the like stuffe ... Collected and gathered as well out of the most ancient, as the moderne and late physitians of our time: and written first in the Latine tongue, and diuided into three bookes by Peter Forrest D. in Physicke ... And for the benefit of our British nations newly epitomized, and translated into our English tongue by Iames Hart Dr. of the foresaid faculty, and residing in the towne of Northampton.",1623-01-01,cakes made of meale and salt to their gods and the,,,,,,,,,
454,"The arraignment of vrines vvherein are set downe the manifold errors and abuses of ignorant vrine-mongring empirickes, cozening quacksaluers, women-physitians, and the like stuffe ... Collected and gathered as well out of the most ancient, as the moderne and late physitians of our time: and written first in the Latine tongue, and diuided into three bookes by Peter Forrest D. in Physicke ... And for the benefit of our British nations newly epitomized, and translated into our English tongue by Iames Hart Dr. of the foresaid faculty, and residing in the towne of Northampton.",1623-01-01,vpon the opinions of montanus argenterius and others i will shew,,,,,,,,,
478,"A short description and vindication of the true sal volatile oleosum.Of the ancients wherein 'tis prov'd the great medicine of the spirits; and consequently, an universal remedy. By T. Byfield, M.D.",1699-01-01,conficitur medicina ʋniversalis if your salt be right in the anatomy,,,,,,,,,
480,"A short description and vindication of the true sal volatile oleosum.Of the ancients wherein 'tis prov'd the great medicine of the spirits; and consequently, an universal remedy. By T. Byfield, M.D.",1699-01-01,an intire body of salt so you have the three,,,,,,,,,
481,"A short description and vindication of the true sal volatile oleosum.Of the ancients wherein 'tis prov'd the great medicine of the spirits; and consequently, an universal remedy. By T. Byfield, M.D.",1699-01-01,the highest purity viz salt sulphur and mercury  tis of,,,,,1,,,,
482,"A short description and vindication of the true sal volatile oleosum.Of the ancients wherein 'tis prov'd the great medicine of the spirits; and consequently, an universal remedy. By T. Byfield, M.D.",1699-01-01,blood is a fine volatil salt what more similar and uniform,,,,1,,,,,
483,"The art of glass wherein are shown the wayes to make and colour glass, pastes, enamels, lakes, and other curiosities / written in Italian by Antonio Neri ; and translated into English, with some observations on the author ; whereunto is added an account of the glass drops made by the Royal Society, meeting at Gresham College.",1662-01-01,one to another for all salts have their determinate figure which,,,,1,,,,,
491,"A general collection of discourses of the virtuosi of France, upon questions of all sorts of philosophy, and other natural knowledg made in the assembly of the Beaux Esprits at Paris, by the most ingenious persons of that nation / render'd into English by G. Havers, Gent.",1664-01-01,d into a statue of salt no more then the most,,,,,,,,,
492,"A general collection of discourses of the virtuosi of France, upon questions of all sorts of philosophy, and other natural knowledg made in the assembly of the Beaux Esprits at Paris, by the most ingenious persons of that nation / render'd into English by G. Havers, Gent.",1664-01-01,as are the hills of salt as cardan holds which are,,,,,,,,,
498,"Bazilica chymica, & Praxis chymiatricæ, or, Royal and practical chymistry in three treatises : wherein all those excellent medicines and chymical preparations are fully discovered, from whence all our modern chymists have drawn their choicest remedies : being a translation of Oswald Crollius, his Royal chymistry, augmented and inlarged by John Hartman : to which is added his Treatise of signatures of internal things, or, A true and lively anatomy of the greater and lesser world : as also, The practice of chymistry of John Hartman, M.D., augmented and inlarged by his son / all faithfully Englished by a lover of chymistry.",1670-01-01,is the red spirit of mercury for expelling the universal disease,,,,1,,,,,
499,"Bazilica chymica, & Praxis chymiatricæ, or, Royal and practical chymistry in three treatises : wherein all those excellent medicines and chymical preparations are fully discovered, from whence all our modern chymists have drawn their choicest remedies : being a translation of Oswald Crollius, his Royal chymistry, augmented and inlarged by John Hartman : to which is added his Treatise of signatures of internal things, or, A true and lively anatomy of the greater and lesser world : as also, The practice of chymistry of John Hartman, M.D., augmented and inlarged by his son / all faithfully Englished by a lover of chymistry.",1670-01-01,it rather acts upon the sulphur then the mercurial liquor in,,,,1,,,,,
507,"A dialogue between alkali and acid containing divers philosophical and medicinal considerations : wherein a late pretended new hypothesis asserting alkali the cause and acid the cure of all diseases, is proved groundless and dangerous : being a specimen of the immodest self-applause, shameful contempt, and abuse of all physicians, gross mistakes and great ignorance of the pretender John Colbatch / by T.E., Chirurgo-Medicus.",1698-01-01,the eating too much common salt is the cause of many,,,,,,,,,
516,"A new treatise of natural philosophy, free'd from the intricacies of the schools adorned with many curious experiments both medicinal and chymical : as also with several observations useful for the health of the body.",1687-01-01,obstructions of the hypocondria the salt of it is sweeter than,,,,,,,,,
517,"A new treatise of natural philosophy, free'd from the intricacies of the schools adorned with many curious experiments both medicinal and chymical : as also with several observations useful for the health of the body.",1687-01-01,to be the spirit of salt  and vitriol to separate,,,,1,,lab/ops,principles,~lab; ~princi,total
,,,,,,,,,36,98,75,209 frags
