,Title,Date,Fragments,Lab/Ops,Principles
272,"Moffet-well, or, A topographico-spagyricall description of the minerall wells, at Moffet in Annandale of Scotland translated, and much enlarged, by the author Matthew Mackaile ... ; as also, The oyly-well, or, A topographico-spagyricall description of the oyly-well, at St. Catharines Chappel in the paroch of Libberton ; to these is subjoyned, A character of Mr. Culpeper and his writings, by the same author.",1664-01-01,brimstone which is its volatile salt dissolved into a liquor by,1,
273,"Moffet-well, or, A topographico-spagyricall description of the minerall wells, at Moffet in Annandale of Scotland translated, and much enlarged, by the author Matthew Mackaile ... ; as also, The oyly-well, or, A topographico-spagyricall description of the oyly-well, at St. Catharines Chappel in the paroch of Libberton ; to these is subjoyned, A character of Mr. Culpeper and his writings, by the same author.",1664-01-01,which is impregnat with the sulphur of antimony passeth through other,1,
274,"Moffet-well, or, A topographico-spagyricall description of the minerall wells, at Moffet in Annandale of Scotland translated, and much enlarged, by the author Matthew Mackaile ... ; as also, The oyly-well, or, A topographico-spagyricall description of the oyly-well, at St. Catharines Chappel in the paroch of Libberton ; to these is subjoyned, A character of Mr. Culpeper and his writings, by the same author.",1664-01-01,maturity i said  the salt of a vegetable because no,1,
275,"Doron medicum, or, A supplement to the new London dispensatory in III books : containing a supplement I. to the materia medica, II. to the internal compound medicaments, III. to the external compound medicaments : compleated with the art of compounding medicines ... / by William Salmon ...",1683-01-01,the rectification of other volatile salts so will you perceive the,1,
276,"Doron medicum, or, A supplement to the new London dispensatory in III books : containing a supplement I. to the materia medica, II. to the internal compound medicaments, III. to the external compound medicaments : compleated with the art of compounding medicines ... / by William Salmon ...",1683-01-01,of fire till all the sulphurous spirit both of the salt,1,
277,"Doron medicum, or, A supplement to the new London dispensatory in III books : containing a supplement I. to the materia medica, II. to the internal compound medicaments, III. to the external compound medicaments : compleated with the art of compounding medicines ... / by William Salmon ...",1683-01-01,a little smoak the volatile salts are but weakned and so,1,
278,"New observations on the natural history of this world of matter, and this world of life in two parts : being a philosophical discourse, grounded upon the Mosaick system of the creation and the flood : to which are added some thoughts concerning paradise, the conflagration by Tho. Robinson ...",1696-01-01,minerals of salt sulphur and mercury to the several degrees and,1,
279,"New observations on the natural history of this world of matter, and this world of life in two parts : being a philosophical discourse, grounded upon the Mosaick system of the creation and the flood : to which are added some thoughts concerning paradise, the conflagration by Tho. Robinson ...",1696-01-01,pneumatical ingredients whereof are bitumen sulphur and nitre bitumen gives the,1,
280,"New observations on the natural history of this world of matter, and this world of life in two parts : being a philosophical discourse, grounded upon the Mosaick system of the creation and the flood : to which are added some thoughts concerning paradise, the conflagration by Tho. Robinson ...",1696-01-01,volatile matter consisting of sublimated sulphur nitre and bitumen keeps possession,1,
282,"New observations on the natural history of this world of matter, and this world of life in two parts : being a philosophical discourse, grounded upon the Mosaick system of the creation and the flood : to which are added some thoughts concerning paradise, the conflagration by Tho. Robinson ...",1696-01-01,the fresh water and the salt causeth a conconstant heat and,1,
284,"Of natural & supernatural things also of the first tincture, root, and spirit of metals and minerals, how the same are conceived, generated, brought forth, changed, and augmented / [by] Basilius Valentinus ; translated out of high Dutch by Daniel Cable ; whereunto is added Frier Roger Bacon,  Of the medicine or tincture of antimony; Mr. John Isaac Holland, his Work of Saturn; and Alex. Van Suchten, Of the secrets of antimony.",1671-01-01,tincture of mars or the sulphur of iron is found in,1,
285,"A medicinal dispensatory, containing the whole body of physick discovering the natures, properties, and vertues of vegetables, minerals, & animals, the manner of compounding medicaments, and the way to administer them : methodically digested in five books of philosophical and pharmaceutical institutions, three books of physical materials galenical and chymical : together with a most perfect and absolute pharmacopoea or apothecaries shop : accommodated with three useful tables / composed by the illustrious Renodæus ... ; and now Englished and revised, by Richard Tomlinson of London, apothecary.",1657-01-01,goats grease for alum fossile salt for althea mallowes for arsenick,1,
286,"A medicinal dispensatory, containing the whole body of physick discovering the natures, properties, and vertues of vegetables, minerals, & animals, the manner of compounding medicaments, and the way to administer them : methodically digested in five books of philosophical and pharmaceutical institutions, three books of physical materials galenical and chymical : together with a most perfect and absolute pharmacopoea or apothecaries shop : accommodated with three useful tables / composed by the illustrious Renodæus ... ; and now Englished and revised, by Richard Tomlinson of London, apothecary.",1657-01-01,first sweet secondly unsavoury thirdly salt medicaments sweet because these newly,1,
288,"Philosophical letters, or, Modest reflections upon some opinions in natural philosophy maintained by several famous and learned authors of this age, expressed by way of letters / by the thrice noble, illustrious, and excellent princess the Lady Marchioness of Newcastle.",1664-01-01,more subtil and active then quicksilver or light so as i,1,
289,"Philosophical letters, or, Modest reflections upon some opinions in natural philosophy maintained by several famous and learned authors of this age, expressed by way of letters / by the thrice noble, illustrious, and excellent princess the Lady Marchioness of Newcastle.",1664-01-01,had transchanged  parts of quicksilver equal to it self into,1,
292,"The wonders of the little world, or, A general history of man in six books : wherein by many thousands of examples is shewed what man hath been from the first ages of the world to these times, in respect of his body, senses, passions, affections, his virtues and perfections, his vices and defects, his quality, vocation and profession, and many other particulars not reducible to any of the former heads : collected from the writings of the most approved historians, philosophers, physicians, philologists and others / by Nath. Wanley ...",1673-01-01,and water of tamarind and salt things his usual drink is,1,
294,The art of chymistry as it is now practiced / written in French by P. Thibaut ... ; and now translated into English by a fellow of the Royal Society.,1675-01-01,good part of the said salt with the oyl but in,1,
295,The art of chymistry as it is now practiced / written in French by P. Thibaut ... ; and now translated into English by a fellow of the Royal Society.,1675-01-01,that the spirits of salt niter and vitriol are not,1,
296,The art of chymistry as it is now practiced / written in French by P. Thibaut ... ; and now translated into English by a fellow of the Royal Society.,1675-01-01,crystal  its vertues  salt decrepitated what  salt of,1,
297,"Academia scientiarum, or, The academy of sciences being a short and easie introduction to the knowledge of the liberal arts and sciences, with the names of those famous authors that have written on every particular science : in English and Latine / by D. Abercromby ...",1687-01-01,is a great destroyer of salts and acids two general causes,1,
299,"Academia scientiarum, or, The academy of sciences being a short and easie introduction to the knowledge of the liberal arts and sciences, with the names of those famous authors that have written on every particular science : in English and Latine / by D. Abercromby ...",1687-01-01,caesalpinus the act of making salt water fresh was lately invented,1,
300,"[Pharmako-basanos]: or, The touch-stone of medicines. Discovering the vertues of [brace] vegetables, minerals, & animals, by their tastes & smells. : In two volumes. / By Sir John Floyer ...",1687-01-01,bitterish and brackish aquae fontanae sulphureae sulphur vivum flores sulphuris are,1,
301,"[Pharmako-basanos]: or, The touch-stone of medicines. Discovering the vertues of [brace] vegetables, minerals, & animals, by their tastes & smells. : In two volumes. / By Sir John Floyer ...",1687-01-01,difference betwixt volatile and fixt salts and that an acid is,1,
302,"Four books of Johannes Segerus Weidenfeld concerning the secrets of the adepts, or, of the use of Lully's spirit of wine : a practical work, with very great study collected out of the ancient as well as modern fathers of adept philosophy : reconciled together by comparing them one with another, otherwise disagreeing, and in the newest method so aptly digested, that even young practitioners may be able to discern the counterfeit or sophistical preparations of animals, vegetables and minerals, whether for medicines or metals, from true, and so avoid vagabound imposters, and imaginary processes, together with the ruine of estates.",1685-01-01,will see our menstruum or mercury clearer than cristal and more,1,
303,"Four books of Johannes Segerus Weidenfeld concerning the secrets of the adepts, or, of the use of Lully's spirit of wine : a practical work, with very great study collected out of the ancient as well as modern fathers of adept philosophy : reconciled together by comparing them one with another, otherwise disagreeing, and in the newest method so aptly digested, that even young practitioners may be able to discern the counterfeit or sophistical preparations of animals, vegetables and minerals, whether for medicines or metals, from true, and so avoid vagabound imposters, and imaginary processes, together with the ruine of estates.",1685-01-01,the salt draw all the saltness from the calcined matter with,1,
304,"Four books of Johannes Segerus Weidenfeld concerning the secrets of the adepts, or, of the use of Lully's spirit of wine : a practical work, with very great study collected out of the ancient as well as modern fathers of adept philosophy : reconciled together by comparing them one with another, otherwise disagreeing, and in the newest method so aptly digested, that even young practitioners may be able to discern the counterfeit or sophistical preparations of animals, vegetables and minerals, whether for medicines or metals, from true, and so avoid vagabound imposters, and imaginary processes, together with the ruine of estates.",1685-01-01,you increase   the salt of wine as you please,1,
305,"Four books of Johannes Segerus Weidenfeld concerning the secrets of the adepts, or, of the use of Lully's spirit of wine : a practical work, with very great study collected out of the ancient as well as modern fathers of adept philosophy : reconciled together by comparing them one with another, otherwise disagreeing, and in the newest method so aptly digested, that even young practitioners may be able to discern the counterfeit or sophistical preparations of animals, vegetables and minerals, whether for medicines or metals, from true, and so avoid vagabound imposters, and imaginary processes, together with the ruine of estates.",1685-01-01,must know that your dissolved sulphur is that which we taught,1,
306,"The paradoxal discourses of F.M. Van Helmont concerning the macrocosm and microcosm, or, The greater and lesser world and their union set down in writing by J.B. and now published.",1685-01-01,great quantity of common combustible sulphur which abounds therein may be,1,
307,"The paradoxal discourses of F.M. Van Helmont concerning the macrocosm and microcosm, or, The greater and lesser world and their union set down in writing by J.B. and now published.",1685-01-01,of salts as alloms vitriols salt armoniack salt petre sea salt,1,
308,"The paradoxal discourses of F.M. Van Helmont concerning the macrocosm and microcosm, or, The greater and lesser world and their union set down in writing by J.B. and now published.",1685-01-01,exposed to be stored with salt petre anew as being impregnated,1,
309,Experimental notes of the mechanical origine or production of fixtness.,1675-01-01,the finer parts of the salts by the operation of the,1,
310,Experimental notes of the mechanical origine or production of fixtness.,1675-01-01,d spirit of wine and mercury and also metals and glass,1,
311,Experimental notes of the mechanical origine or production of fixtness.,1675-01-01,which will not as the salts it consists of will doe,1,
312,Experimental notes of the mechanical origine or production of fixtness.,1675-01-01,ascend much nimblier by the salt than just before by the,1,
313,Experimental notes of the mechanical origine or production of fixtness.,1675-01-01,and gold and silver and mercury and i know not how,1,
314,"A plain introduction to the art of physick containing the fundamentals, and necessary preliminaries to practice ... : to which is added, The materia medica contracted, and alphabetical tables of the vertues of roots, barks, woods, herbs, flowers, seeds, fruits, juices and gums ... : also a collection of choice medicines chymical and Galenical, together with a different way of making the most celebrated compositions in the apothecaries shops / by J. Pechey ...",1697-01-01,proper liquor sweet spirit of salt take of spirit of salt,1,
315,"A plain introduction to the art of physick containing the fundamentals, and necessary preliminaries to practice ... : to which is added, The materia medica contracted, and alphabetical tables of the vertues of roots, barks, woods, herbs, flowers, seeds, fruits, juices and gums ... : also a collection of choice medicines chymical and Galenical, together with a different way of making the most celebrated compositions in the apothecaries shops / by J. Pechey ...",1697-01-01,and sulphureous part of the sulphur and so has lost the,1,
316,"A plain introduction to the art of physick containing the fundamentals, and necessary preliminaries to practice ... : to which is added, The materia medica contracted, and alphabetical tables of the vertues of roots, barks, woods, herbs, flowers, seeds, fruits, juices and gums ... : also a collection of choice medicines chymical and Galenical, together with a different way of making the most celebrated compositions in the apothecaries shops / by J. Pechey ...",1697-01-01,of brimstone take of crude sulphur powdered half a pound of,1,
317,"A plain introduction to the art of physick containing the fundamentals, and necessary preliminaries to practice ... : to which is added, The materia medica contracted, and alphabetical tables of the vertues of roots, barks, woods, herbs, flowers, seeds, fruits, juices and gums ... : also a collection of choice medicines chymical and Galenical, together with a different way of making the most celebrated compositions in the apothecaries shops / by J. Pechey ...",1697-01-01,remedies indued with an alcalizat salt for these are commonly reputed,1,
318,"A plain introduction to the art of physick containing the fundamentals, and necessary preliminaries to practice ... : to which is added, The materia medica contracted, and alphabetical tables of the vertues of roots, barks, woods, herbs, flowers, seeds, fruits, juices and gums ... : also a collection of choice medicines chymical and Galenical, together with a different way of making the most celebrated compositions in the apothecaries shops / by J. Pechey ...",1697-01-01,the clear balsom from the sulphur that could not dissolve this,1,
319,"A plain introduction to the art of physick containing the fundamentals, and necessary preliminaries to practice ... : to which is added, The materia medica contracted, and alphabetical tables of the vertues of roots, barks, woods, herbs, flowers, seeds, fruits, juices and gums ... : also a collection of choice medicines chymical and Galenical, together with a different way of making the most celebrated compositions in the apothecaries shops / by J. Pechey ...",1697-01-01,distil and a little volatile salt will stick to the sides,1,
320,"A plain introduction to the art of physick containing the fundamentals, and necessary preliminaries to practice ... : to which is added, The materia medica contracted, and alphabetical tables of the vertues of roots, barks, woods, herbs, flowers, seeds, fruits, juices and gums ... : also a collection of choice medicines chymical and Galenical, together with a different way of making the most celebrated compositions in the apothecaries shops / by J. Pechey ...",1697-01-01,from ten to thirty grains salt of coral take what quantity,1,
321,"The wise-mans crown, or, The glory of the rosie-cross shewing the wonderful power of nature, with the full discovery of the true cœlum terræ, or first matter of metals, and their preparations into incredible medicines or elixirs that cure all diseases in young or old : with the regio lucis, and holy houshold of rosie crucian philosophers / communicated to the world by John Heydon, Gent. ...",1664-01-01,be a conjunction of our salt as is before described hereafter,1,
322,"The wise-mans crown, or, The glory of the rosie-cross shewing the wonderful power of nature, with the full discovery of the true cœlum terræ, or first matter of metals, and their preparations into incredible medicines or elixirs that cure all diseases in young or old : with the regio lucis, and holy houshold of rosie crucian philosophers / communicated to the world by John Heydon, Gent. ...",1664-01-01,shall have a yellowish red salt in the bottom which then,1,
323,"The wise-mans crown, or, The glory of the rosie-cross shewing the wonderful power of nature, with the full discovery of the true cœlum terræ, or first matter of metals, and their preparations into incredible medicines or elixirs that cure all diseases in young or old : with the regio lucis, and holy houshold of rosie crucian philosophers / communicated to the world by John Heydon, Gent. ...",1664-01-01,times the calcine it with sulphur as you did before when,1,
324,"The wise-mans crown, or, The glory of the rosie-cross shewing the wonderful power of nature, with the full discovery of the true cœlum terræ, or first matter of metals, and their preparations into incredible medicines or elixirs that cure all diseases in young or old : with the regio lucis, and holy houshold of rosie crucian philosophers / communicated to the world by John Heydon, Gent. ...",1664-01-01,this elixir but onely the sulphur of alone created of his,1,
325,"The wise-mans crown, or, The glory of the rosie-cross shewing the wonderful power of nature, with the full discovery of the true cœlum terræ, or first matter of metals, and their preparations into incredible medicines or elixirs that cure all diseases in young or old : with the regio lucis, and holy houshold of rosie crucian philosophers / communicated to the world by John Heydon, Gent. ...",1664-01-01,conjunction  putrefaction  sulphur  fermentation  elixir exaltation,1,
326,"The wise-mans crown, or, The glory of the rosie-cross shewing the wonderful power of nature, with the full discovery of the true cœlum terræ, or first matter of metals, and their preparations into incredible medicines or elixirs that cure all diseases in young or old : with the regio lucis, and holy houshold of rosie crucian philosophers / communicated to the world by John Heydon, Gent. ...",1664-01-01,of spirits as of vitrioll sulphur as well and the like,1,
327,"The wise-mans crown, or, The glory of the rosie-cross shewing the wonderful power of nature, with the full discovery of the true cœlum terræ, or first matter of metals, and their preparations into incredible medicines or elixirs that cure all diseases in young or old : with the regio lucis, and holy houshold of rosie crucian philosophers / communicated to the world by John Heydon, Gent. ...",1664-01-01,a red colour when your sulphure is thus converted imbibe it,1,
329,"A compleat history of the most remarkable providences both of judgment and mercy, which have hapned in this present age extracted from the best writers, the author's own observations, and the numerous relations sent him from divers parts of the three kingdoms : to which is added, whatever is curious in the works of nature and art / the whole digested into one volume, under proper heads, being a work set on foot thirty years ago, by the Reverend Mr. Pool, author of the Synopsis criticorum ; and since undertaken and finish'd, by William Turner...",1697-01-01,p   weights of salt are computed to be made,1,
330,"A compleat history of the most remarkable providences both of judgment and mercy, which have hapned in this present age extracted from the best writers, the author's own observations, and the numerous relations sent him from divers parts of the three kingdoms : to which is added, whatever is curious in the works of nature and art / the whole digested into one volume, under proper heads, being a work set on foot thirty years ago, by the Reverend Mr. Pool, author of the Synopsis criticorum ; and since undertaken and finish'd, by William Turner...",1697-01-01,either of which is the sulphur cabaline or horse brimstone besides,1,
331,"A compleat history of the most remarkable providences both of judgment and mercy, which have hapned in this present age extracted from the best writers, the author's own observations, and the numerous relations sent him from divers parts of the three kingdoms : to which is added, whatever is curious in the works of nature and art / the whole digested into one volume, under proper heads, being a work set on foot thirty years ago, by the Reverend Mr. Pool, author of the Synopsis criticorum ; and since undertaken and finish'd, by William Turner...",1697-01-01,of paracelsus of a yellow mercury purple sulphur and a red,1,
332,"A compleat history of the most remarkable providences both of judgment and mercy, which have hapned in this present age extracted from the best writers, the author's own observations, and the numerous relations sent him from divers parts of the three kingdoms : to which is added, whatever is curious in the works of nature and art / the whole digested into one volume, under proper heads, being a work set on foot thirty years ago, by the Reverend Mr. Pool, author of the Synopsis criticorum ; and since undertaken and finish'd, by William Turner...",1697-01-01,purple sulphur and a red salt it is refined thus lay,1,
334,"Thirteen books of natural philosophy viz. I. Of the principles, and common adjuncts of all natural bodies. II. Of the heavens, the world, and elements. III. Of action, passion, generation, and corruption. IV. Of meteors. V. Of minerals and metals. VI. Of the soul in general, and of things vegetable. VII. Of animals or living creatures. VIII. Of man. Unto which is added five books more of natural philosophy in several discourses. I1. Discourses [illegible] principles of natural things. 1. Dis. 2. Concerning the occult and hidden qualities. 1I. Dis. 3. Of atomes and mixture. 1II. Dis 4. Of the generation of live things. 1III. Dis. 5. Concerning the spontaneous generation of live things. Written in Latin and English. By Daniel Sennert, doctor of physick. Nicholas Culpeper, physitian and astrologer. Abdiah Cole, doctor of physick, and the liberal arts.",1660-01-01,and salt mingled with the sulphur some take arsenick for the,1,
335,"Thirteen books of natural philosophy viz. I. Of the principles, and common adjuncts of all natural bodies. II. Of the heavens, the world, and elements. III. Of action, passion, generation, and corruption. IV. Of meteors. V. Of minerals and metals. VI. Of the soul in general, and of things vegetable. VII. Of animals or living creatures. VIII. Of man. Unto which is added five books more of natural philosophy in several discourses. I1. Discourses [illegible] principles of natural things. 1. Dis. 2. Concerning the occult and hidden qualities. 1I. Dis. 3. Of atomes and mixture. 1II. Dis 4. Of the generation of live things. 1III. Dis. 5. Concerning the spontaneous generation of live things. Written in Latin and English. By Daniel Sennert, doctor of physick. Nicholas Culpeper, physitian and astrologer. Abdiah Cole, doctor of physick, and the liberal arts.",1660-01-01,the spirit of vitriol and salt of tartar do in their,1,
339,"Chymical, medicinal, and chyrurgical addresses: made to Samuel Hartlib, Esquire. Viz. 1. Whether the Vrim and Thummim were given in the Mount, or perfected by art. 2. Sir George Ripley's epistle, to King Edward unfolded. 3. Gabriel Plats caveat for alchymists. 4. A conference concerning the phylosophers stone. 5. An invitation to a free and generous communication of secrets and receits in physick. 6 Whether or no, each several disease hath a particular remedy? 7. A new and easie method of chirurgery, for the curing of all fresh wounds or other hurts. 8. A discourse about the essence or existence of metals. 9. The new postilions, pretended prophetical prognostication, of what whall happen to physitians, chyrurgeons, apothecaries, alchymists, and miners.",1655-01-01,and gold in some other mercury calcined and sulphur in some,1,
340,"Chymical, medicinal, and chyrurgical addresses: made to Samuel Hartlib, Esquire. Viz. 1. Whether the Vrim and Thummim were given in the Mount, or perfected by art. 2. Sir George Ripley's epistle, to King Edward unfolded. 3. Gabriel Plats caveat for alchymists. 4. A conference concerning the phylosophers stone. 5. An invitation to a free and generous communication of secrets and receits in physick. 6 Whether or no, each several disease hath a particular remedy? 7. A new and easie method of chirurgery, for the curing of all fresh wounds or other hurts. 8. A discourse about the essence or existence of metals. 9. The new postilions, pretended prophetical prognostication, of what whall happen to physitians, chyrurgeons, apothecaries, alchymists, and miners.",1655-01-01,take fire if joyned with salt peter even as common sulphur,1,
341,"A ternary of paradoxes the magnetick cure of wounds, nativity of tartar in wine, image of God in man / written originally by Joh. Bapt. Van Helmont and translated, illustrated and amplified by Walter Charleton.",1650-01-01,cadmia to iron stibium to mercury c consule paracelsum in tertio,1,
342,"A ternary of paradoxes the magnetick cure of wounds, nativity of tartar in wine, image of God in man / written originally by Joh. Bapt. Van Helmont and translated, illustrated and amplified by Walter Charleton.",1650-01-01,vitriol referred to alchahal salts and vulnerary  the pedegree,1,
343,"New experiments, and observations, made upon the icy noctiluca imparted in a letter to a friend living in the country : to which is annexed A chymical paradox / by Robert Boyle.",1682-01-01,it on the fix d salt of tartar or the urinous,1,
344,"New experiments, and observations, made upon the icy noctiluca imparted in a letter to a friend living in the country : to which is annexed A chymical paradox / by Robert Boyle.",1682-01-01,conflict excited by adding more salt the acid being thus mortified,1,
345,"New experiments, and observations, made upon the icy noctiluca imparted in a letter to a friend living in the country : to which is annexed A chymical paradox / by Robert Boyle.",1682-01-01,make a great conflict with salt of tartar and with that,1,
346,"New experiments, and observations, made upon the icy noctiluca imparted in a letter to a friend living in the country : to which is annexed A chymical paradox / by Robert Boyle.",1682-01-01,were mingled with spirit of salt and it relished also somewhat,1,
347,"Sal, lumen, & spiritus mundi philosophici, or, The dawning of the day discovered by the beams of light shewing the true salt and secret of the philosophers, the first and universal spirit of the world / written originally in French, afterwards turned into Latin by the illustrious doctor, Lodovicus Combachius ... and now transplanted into Albyons Garden by R.T. ...",1657-01-01,by the help of some mercury or quicksilver which is the,1,
348,"Sal, lumen, & spiritus mundi philosophici, or, The dawning of the day discovered by the beams of light shewing the true salt and secret of the philosophers, the first and universal spirit of the world / written originally in French, afterwards turned into Latin by the illustrious doctor, Lodovicus Combachius ... and now transplanted into Albyons Garden by R.T. ...",1657-01-01,before called volatile and separable sulphur for that is rather the,1,
350,"Resuscitatio, or, Bringing into publick light severall pieces of the works, civil, historical, philosophical, & theological, hitherto sleeping, of the Right Honourable Francis Bacon, Baron of Verulam, Viscount Saint Alban according to the best corrected coppies : together with His Lordships life / by William Rawley ...",1657-01-01,first roseaker then arsenick then mercury sublimate then sublimate again it,1,
351,"A medicinal dispensatory, containing the vvhole body of physick discovering the natures, properties, and vertues of vegetables, minerals, & animals: the manner of compounding medicaments, and the way to administer them. Methodically digested in five books of philosophical and pharmaceutical institutions; three books of physical materials galenical and chymical. Together with a most perfect and absolute pharmacopoea or apothecaries shop. Accommodated with three useful tables. Composed by the illustrious Renodæus, chief physician to the monarch of France; and now Englished and revised, by Richard Tomlinson of London, apothecary.",1657-01-01,wonderful and vain things of salt educed by chymical art for,1,
352,"A medicinal dispensatory, containing the vvhole body of physick discovering the natures, properties, and vertues of vegetables, minerals, & animals: the manner of compounding medicaments, and the way to administer them. Methodically digested in five books of philosophical and pharmaceutical institutions; three books of physical materials galenical and chymical. Together with a most perfect and absolute pharmacopoea or apothecaries shop. Accommodated with three useful tables. Composed by the illustrious Renodæus, chief physician to the monarch of France; and now Englished and revised, by Richard Tomlinson of London, apothecary.",1657-01-01,familiar unguent made of mercury sulphur and swines grease wherewith he,1,
353,"Alex. Van Suchten Of the secrets of antimony in two treatises. Translated out of high-Dutch by Dr. C. a person of great skill in chymistry. To which is added B. Valentine's salt of antimony, with its use.",1670-01-01,it with so much yellow sulphur put it into a melting,1,
354,"Alex. Van Suchten Of the secrets of antimony in two treatises. Translated out of high-Dutch by Dr. C. a person of great skill in chymistry. To which is added B. Valentine's salt of antimony, with its use.",1670-01-01,antimony is not in his mercury but in his fire of,1,
355,"A choice collection of rare secrets and experiments in philosophy as also rare and unheard-of medicines, menstruums and alkahests : with the true secret of volatilizing the fixt salt of tartar / collected and experimented by the honourable and truly learned Sir Kenelm Digby, Kt., Chancellour to Her Majesty the Queen-Mother ; hitherto kept secret since his decease, but now published for the good and benefit of the publick by George Hartman.",1682-01-01,soap only with a little salt of tartar not much lest,1,
356,"A choice collection of rare secrets and experiments in philosophy as also rare and unheard-of medicines, menstruums and alkahests : with the true secret of volatilizing the fixt salt of tartar / collected and experimented by the honourable and truly learned Sir Kenelm Digby, Kt., Chancellour to Her Majesty the Queen-Mother ; hitherto kept secret since his decease, but now published for the good and benefit of the publick by George Hartman.",1682-01-01,with seven parts of prepared salt put it in a cucurbite,1,
357,"A choice collection of rare secrets and experiments in philosophy as also rare and unheard-of medicines, menstruums and alkahests : with the true secret of volatilizing the fixt salt of tartar / collected and experimented by the honourable and truly learned Sir Kenelm Digby, Kt., Chancellour to Her Majesty the Queen-Mother ; hitherto kept secret since his decease, but now published for the good and benefit of the publick by George Hartman.",1682-01-01,among which cometh the volatile salt change the recipient putting on,1,
358,"A choice collection of rare secrets and experiments in philosophy as also rare and unheard-of medicines, menstruums and alkahests : with the true secret of volatilizing the fixt salt of tartar / collected and experimented by the honourable and truly learned Sir Kenelm Digby, Kt., Chancellour to Her Majesty the Queen-Mother ; hitherto kept secret since his decease, but now published for the good and benefit of the publick by George Hartman.",1682-01-01,double as much flowers of sulphur grind them well together put,1,
359,"A choice collection of rare secrets and experiments in philosophy as also rare and unheard-of medicines, menstruums and alkahests : with the true secret of volatilizing the fixt salt of tartar / collected and experimented by the honourable and truly learned Sir Kenelm Digby, Kt., Chancellour to Her Majesty the Queen-Mother ; hitherto kept secret since his decease, but now published for the good and benefit of the publick by George Hartman.",1682-01-01,some little addition of dry salt from the spirit of wine,1,
360,"A choice collection of rare secrets and experiments in philosophy as also rare and unheard-of medicines, menstruums and alkahests : with the true secret of volatilizing the fixt salt of tartar / collected and experimented by the honourable and truly learned Sir Kenelm Digby, Kt., Chancellour to Her Majesty the Queen-Mother ; hitherto kept secret since his decease, but now published for the good and benefit of the publick by George Hartman.",1682-01-01,of urine till the volatile salt be drawn out of it,1,
361,"A choice collection of rare secrets and experiments in philosophy as also rare and unheard-of medicines, menstruums and alkahests : with the true secret of volatilizing the fixt salt of tartar / collected and experimented by the honourable and truly learned Sir Kenelm Digby, Kt., Chancellour to Her Majesty the Queen-Mother ; hitherto kept secret since his decease, but now published for the good and benefit of the publick by George Hartman.",1682-01-01,you shall have a sulphurious salt take of this salt and,1,
362,"Fleta minor the laws of art and nature, in knowing, judging, assaying, fining, refining and inlarging the bodies of confin'd metals : in two parts : the first contains assays of Lazarus Erckern, chief prover, or assay-master general of the empire of Germany, in V. books, orinally written by him in the Teutonick language and now translated into English ; the second contains essays on metallick words, as a dictionary to many pleasing discourses, by Sir John Pettus ... ; illustrated with 44 sculptures.",1683-01-01,melting vessels in which the salt petre improves  the,1,
363,"Fleta minor the laws of art and nature, in knowing, judging, assaying, fining, refining and inlarging the bodies of confin'd metals : in two parts : the first contains assays of Lazarus Erckern, chief prover, or assay-master general of the empire of Germany, in V. books, orinally written by him in the Teutonick language and now translated into English ; the second contains essays on metallick words, as a dictionary to many pleasing discourses, by Sir John Pettus ... ; illustrated with 44 sculptures.",1683-01-01,square finger high of common salt press it down a little,1,
364,"Hydrologia chymica, or, The chymical anatomy of the Scarbrough, and other spaws in York-Shire wherein are interspersed some animadversions upon Dr. Wittie's lately published treatise of the Scarbrough-spaw : also a short description of the spaws at Malton and Knarsbrough : and a discourse concerning the original of hot springs and other fountains : with the causes and cures of most of the stubbornest diseases ... : also a vindication of chymical physick ... : lastly is subjoyned an appendix of the original of springs ... / by W. Simpson.",1669-01-01,vestments  for all mineral salts whether nitre allom vitriol or,1,
365,"Hydrologia chymica, or, The chymical anatomy of the Scarbrough, and other spaws in York-Shire wherein are interspersed some animadversions upon Dr. Wittie's lately published treatise of the Scarbrough-spaw : also a short description of the spaws at Malton and Knarsbrough : and a discourse concerning the original of hot springs and other fountains : with the causes and cures of most of the stubbornest diseases ... : also a vindication of chymical physick ... : lastly is subjoyned an appendix of the original of springs ... / by W. Simpson.",1669-01-01,or salt besides the volatile salt which ariseth by distillation,1,
366,"Hydrologia chymica, or, The chymical anatomy of the Scarbrough, and other spaws in York-Shire wherein are interspersed some animadversions upon Dr. Wittie's lately published treatise of the Scarbrough-spaw : also a short description of the spaws at Malton and Knarsbrough : and a discourse concerning the original of hot springs and other fountains : with the causes and cures of most of the stubbornest diseases ... : also a vindication of chymical physick ... : lastly is subjoyned an appendix of the original of springs ... / by W. Simpson.",1669-01-01,quid from both the foresaid salts which it will make to,1,
367,"Hydrologia chymica, or, The chymical anatomy of the Scarbrough, and other spaws in York-Shire wherein are interspersed some animadversions upon Dr. Wittie's lately published treatise of the Scarbrough-spaw : also a short description of the spaws at Malton and Knarsbrough : and a discourse concerning the original of hot springs and other fountains : with the causes and cures of most of the stubbornest diseases ... : also a vindication of chymical physick ... : lastly is subjoyned an appendix of the original of springs ... / by W. Simpson.",1669-01-01,exalted by letting go its sulphur then it degenerates into vinegar,1,
